make,model,year,esc_consensus,T_assign
HONDA,ACCORD,2002,No,0.0
FORD,EXPLORER SPORT TRAC,2004,No,0.0
SATURN,SL2,2002,No,0.0
FORD,FOCUS,2004,Optional,
CADILLAC,DTS,2010,Standard,1.0
FORD,F-150,2003,No,0.0
SATURN,VUE,2006,Optional,
POLARIS,PREDATOR,2003,not_found,
DODGE,CALIBER,2007,Optional,
NISSAN,FRONTIER,2009,Optional,
INFINITI,G35,2004,Standard,1.0
FORD,F-150,2008,No,0.0
GMC,JIMMY UTILITY,2000,No,0.0
INTERNATIONAL,3800,2003,not_found,
DODGE,DURANGO,2004,No,0.0
FORD,EXPLORER,2002,Optional,
HINO,CONVENTIONAL TYPE TRUCK,2007,not_found,
FORD,E-150,2008,No,0.0
TOYOTA,COROLLA,2001,No,0.0
TOYOTA,AVALON,2007,Optional,
FORD,F-150,2005,No,0.0
GMC,SIERRA,2004,No,0.0
CHEVROLET,COBALT,2010,Optional,
HARLEY DAVIDSON,ROAD KING,2006,not_found,
KIA,SPORTAGE,2006,Standard,1.0
AUDI,A4,2005,not_found,
TOYOTA,TACOMA,2006,Optional,
SUBARU,LEGACY,2002,Optional,
DODGE,RAM,2001,No,0.0
TOYOTA,COROLLA,2007,Optional,
GMC,YUKON XL,2007,Standard,1.0
HYUNDAI,ELANTRA,2009,Optional,
HONDA,ACCORD,2005,No,0.0
FORD,E-250,2008,not_found,
LEXUS,GS,2006,not_found,
GILLIG,LOW FLOOR BUS,2010,not_found,
FORD,EXPLORER,2004,Optional,
JEEP,GRAND CHEROKEE,2007,Standard,1.0
PONTIAC,GRAND AM,2002,No,0.0
TOYOTA,YARIS,2007,No,0.0
CHEVROLET,COLORADO,2005,No,0.0
MITSUBISHI,RAIDER,2007,No,0.0
CHRYSLER,PT CRUISER,2005,No,0.0
TOYOTA,COROLLA,2000,No,0.0
LINCOLN,TOWN CAR,2001,No,0.0
TOYOTA,SEQUOIA,2006,Standard,1.0
TOYOTA,TUNDRA,2006,Optional,
FORD,E-150,2002,not_found,
HONDA,ACCORD,2003,No,0.0
JEEP,GRAND CHEROKEE,2006,Standard,1.0
SUZUKI,AERIO,2007,No,0.0
CHEVROLET,MALIBU,2010,Standard,1.0
ACURA,TL,2007,not_found,
BLUE BIRD,BB CONVENTIONAL,2009,not_found,
BMW,325I,2002,not_found,
DODGE,STRATUS,2000,No,0.0
CHEVROLET,SUBURBAN,2000,not_found,
JEEP,PATRIOT,2009,Standard,1.0
TOYOTA,TUNDRA,2002,No,0.0
KIA,OPTIMA,2007,Optional,
FORD,FOCUS,2009,Optional,
TOYOTA,CAMRY,2002,Optional,
ACURA,TL,2006,not_found,
CHEVROLET,AVEO,2004,No,0.0
SUBARU,FORESTER,2002,No,0.0
KIA,SORENTO,2004,No,0.0
CHEVROLET,SILVERADO,2000,No,0.0
TOYOTA,COROLLA,2005,Optional,
DODGE,AVENGER,2008,Optional,
KIA,OPTIMA,2008,Optional,
DODGE,CARAVAN/GRAND CARAVAN,2006,not_found,
NISSAN,ALTIMA,2008,Optional,
LEXUS,GX,2008,not_found,
BUICK,PARK AVENUE,2003,Optional,
GMC,YUKON,2008,Standard,1.0
HONDA,ACCORD,2009,Standard,1.0
FORD,EXCURSION,2000,not_found,
MAZDA,MAZDA3,2008,Optional,
NISSAN,SENTRA,2002,No,0.0
NISSAN,ALTIMA,2007,No,0.0
TOYOTA,SCION TC,2009,No,0.0
HONDA,CR-V,2006,Standard,1.0
HONDA,ACCORD,2001,No,0.0
FORD,F-150,2007,Optional,
MERCEDES-BENZ,S-CLASS,2000,not_found,
NISSAN,FRONTIER,2007,Optional,
CHRYSLER,300C,2005,not_found,
JEEP,GRAND CHEROKEE,2000,No,0.0
LEXUS,RX,2008,not_found,
CHEVROLET,HHR,2010,Standard,1.0
DODGE,RAM,2008,Optional,
FORD,F-150,2002,No,0.0
CHEVROLET,CORVETTE,2005,Standard,1.0
FORD,MUSTANG,2007,No,0.0
BUICK,LUCERNE,2006,Optional,
CHEVROLET,EXPRESS,2007,ambiguous,
FORD,EXPEDITION,2006,Optional,
TOYOTA,HIGHLANDER,2005,Standard,1.0
CHRYSLER,300C,2008,not_found,
TOYOTA,4-RUNNER,2007,not_found,
CHEVROLET,SILVERADO,2001,No,0.0
NISSAN,ALTIMA,2005,No,0.0
HONDA,ACCORD,2004,No,0.0
TOYOTA,SCION TC,2007,No,0.0
NISSAN,XTERRA,2003,Optional,
FORD,FOCUS,2010,Standard,1.0
FORD,F-150,2001,No,0.0
SPARTAN MOTORS CHASSIS,GLADIATOR,2009,not_found,
VOLKSWAGEN,JETTA,2008,Optional,
TOYOTA,RAV4,2000,No,0.0
HONDA,CIVIC,2005,No,0.0
CHEVROLET,SILVERADO,2007,Optional,
FORD,CROWN VICTORIA,2000,No,0.0
HONDA,S2000,2006,No,0.0
TOYOTA,SCION XB,2006,Standard,1.0
HONDA,CIVIC,2006,Optional,
GMC,ENVOY,2005,No,0.0
FORD,E-250,2004,not_found,
SATURN,ION,2006,No,0.0
CHEVROLET,IMPALA,2008,Optional,
MITSUBISHI,MONTERO SPORT,2003,No,0.0
MINI,COOPER,2004,Optional,
TOYOTA,TACOMA,2003,No,0.0
CHEVROLET,SUBURBAN,2004,Optional,
TOYOTA,SIENNA,2010,Standard,1.0
HONDA,ACCORD,2006,Optional,
