make,model,year,esc_consensus,T_assign,v2_action
HONDA,ACCORD,2002,No,0.0,carried
SATURN,SL2,2002,No,0.0,carried
FORD,FOCUS,2004,Optional,,carried
CADILLAC,DTS,2010,Standard,1.0,carried
SATURN,VUE,2006,Optional,,carried
DODGE,CALIBER,2007,Optional,,carried
INFINITI,G35,2004,Standard,1.0,carried
GMC,JIMMY UTILITY,2000,No,0.0,carried
DODGE,DURANGO,2004,No,0.0,carried
FORD,EXPLORER,2002,Optional,,carried
TOYOTA,COROLLA,2001,No,0.0,carried
TOYOTA,AVALON,2007,Optional,,carried
GMC,SIERRA,2004,No,0.0,carried
CHEVROLET,COBALT,2010,Optional,,carried
KIA,SPORTAGE,2006,Standard,1.0,carried
AUDI,A4,2005,Standard,1.0,rescued
SUBARU,LEGACY,2002,Optional,,carried
TOYOTA,COROLLA,2007,Optional,,carried
GMC,YUKON XL,2007,Standard,1.0,carried
HYUNDAI,ELANTRA,2009,Optional,,carried
HONDA,ACCORD,2005,No,0.0,carried
LEXUS,GS,2006,not_found,,rescue_failed
FORD,EXPLORER,2004,Optional,,carried
JEEP,GRAND CHEROKEE,2007,Standard,1.0,carried
PONTIAC,GRAND AM,2002,No,0.0,carried
TOYOTA,YARIS,2007,No,0.0,carried
CHEVROLET,COLORADO,2005,No,0.0,carried
CHRYSLER,PT CRUISER,2005,No,0.0,carried
TOYOTA,COROLLA,2000,No,0.0,carried
LINCOLN,TOWN CAR,2001,No,0.0,carried
TOYOTA,SEQUOIA,2006,Standard,1.0,carried
HONDA,ACCORD,2003,No,0.0,carried
JEEP,GRAND CHEROKEE,2006,Standard,1.0,carried
SUZUKI,AERIO,2007,No,0.0,carried
CHEVROLET,MALIBU,2010,Standard,1.0,carried
ACURA,TL,2007,Standard,1.0,rescued
BMW,325I,2002,not_found,,carried
DODGE,STRATUS,2000,No,0.0,carried
JEEP,PATRIOT,2009,Standard,1.0,carried
KIA,OPTIMA,2007,Optional,,carried
FORD,FOCUS,2009,Optional,,carried
TOYOTA,CAMRY,2002,Optional,,carried
ACURA,TL,2006,Standard,1.0,rescued
CHEVROLET,AVEO,2004,No,0.0,carried
SUBARU,FORESTER,2002,No,0.0,carried
KIA,SORENTO,2004,No,0.0,carried
TOYOTA,COROLLA,2005,Optional,,carried
DODGE,AVENGER,2008,Optional,,carried
KIA,OPTIMA,2008,Optional,,carried
DODGE,CARAVAN/GRAND CARAVAN,2006,not_found,,carried
NISSAN,ALTIMA,2008,Optional,,carried
LEXUS,GX,2008,not_found,,rescue_failed
