cell,rho,alpha_b,tau_LATE_true,role,D_L_computed,D_U_computed,D_L_prereg,D_U_prereg,N_rep,M,n_valid,reject_A_rate,reject_B_rate,reject_A_se,reject_B_se,c_IM_mean,c_IM_std,tau_mean,tau_std
T2-a,0.5,0.3,-0.063038,POWER,0.014457917217477965,0.14362918718379705,0.01445,0.14352,10000,500,500,0.586,0.704,0.022027437436070496,0.020414896521902825,1.6493520995738111,0.035798114508466095,-0.06492516394944814,0.029660282213142975
T2-a,0.5,0.3,-0.063038,POWER,0.014457917217477965,0.14362918718379705,0.01445,0.14352,20000,500,500,0.842,0.896,0.01631171358257617,0.013651666564928989,1.6448537317749012,2.341577634957525e-06,-0.06317925834243318,0.02208664354396296
T2-a,0.5,0.3,-0.063038,POWER,0.014457917217477965,0.14362918718379705,0.01445,0.14352,50000,500,500,0.998,0.998,0.0019979989989987483,0.0019979989989987483,1.644853626951487,4.440892098500626e-16,-0.063495409020175,0.013647772734070921
T2-a,0.5,0.3,-0.063038,POWER,0.014457917217477965,0.14362918718379705,0.01445,0.14352,100000,500,500,1.0,1.0,0.0,0.0,1.644853626951487,4.440892098500626e-16,-0.06310707656989938,0.009494229235021417
T2-b,1.0,0.3,-0.058665,POWER,0.012797449996783861,0.15208269718056755,0.01277,0.1521,10000,500,500,0.454,0.576,0.022265848288354075,0.022100859711784968,1.6546028088455222,0.053997723106824415,-0.06072099583135926,0.032740832835491174
T2-b,1.0,0.3,-0.058665,POWER,0.012797449996783861,0.15208269718056755,0.01277,0.1521,20000,500,500,0.732,0.82,0.019807877220944195,0.01718138527593162,1.6453435588673067,0.010470051728315026,-0.059198377239779804,0.024563623828832322
T2-b,1.0,0.3,-0.058665,POWER,0.012797449996783861,0.15208269718056755,0.01277,0.1521,50000,500,500,0.988,0.994,0.004869496893930626,0.003453693674893592,1.644853626951487,4.446439748506844e-16,-0.05958792399922216,0.015087760335468306
T2-b,1.0,0.3,-0.058665,POWER,0.012797449996783861,0.15208269718056755,0.01277,0.1521,100000,500,500,1.0,1.0,0.0,0.0,1.644853626951487,4.440892098500626e-16,-0.05883844489932764,0.010661086542220819
T2-c,0.5,3.972,-0.018299,POWER,0.014457917217477965,0.14362918718379705,0.01445,0.14352,10000,500,500,0.104,0.16,0.013651666564928989,0.016395121225535353,1.7290754201250063,0.136389445074383,-0.02054582727609631,0.027788079998258206
T2-c,0.5,3.972,-0.018299,POWER,0.014457917217477965,0.14362918718379705,0.01445,0.14352,20000,500,500,0.16,0.226,0.016395121225535353,0.018704224121839433,1.709036724436661,0.12350249001148024,-0.01822166279620255,0.02083917461759424
T2-c,0.5,3.972,-0.018299,POWER,0.014457917217477965,0.14362918718379705,0.01445,0.14352,50000,500,500,0.344,0.44,0.021244481636415603,0.02219909908081857,1.6703079912753953,0.08385363345759984,-0.01858927186627593,0.013047316100889262
T2-c,0.5,3.972,-0.018299,POWER,0.014457917217477965,0.14362918718379705,0.01445,0.14352,100000,500,500,0.55,0.656,0.022248595461286987,0.021244481636415607,1.6524619501975522,0.048225082051931885,-0.018447387049632277,0.009176836019539399
T2-d,1.0,3.972,-0.015322,POWER,0.012797449996783861,0.15208269718056755,0.01277,0.1521,10000,500,500,0.068,0.12,0.01125841907196565,0.014532721699667961,1.7476816928870256,0.14539696169720379,-0.018288306490789944,0.03156411054387835
T2-d,1.0,3.972,-0.015322,POWER,0.012797449996783861,0.15208269718056755,0.01277,0.1521,20000,500,500,0.114,0.182,0.014212951839783317,0.01725549187939886,1.7279809913605368,0.13594011153068802,-0.015812834840512838,0.023395126460664994
T2-d,1.0,3.972,-0.015322,POWER,0.012797449996783861,0.15208269718056755,0.01277,0.1521,50000,500,500,0.208,0.324,0.018151363585141477,0.020929596269398033,1.6945890650195556,0.112928758877727,-0.01582416881296006,0.014896635023361854
T2-d,1.0,3.972,-0.015322,POWER,0.012797449996783861,0.15208269718056755,0.01277,0.1521,100000,500,500,0.332,0.466,0.02106067425321421,0.02230892198202325,1.669140995980114,0.08131593249678779,-0.01536530362675156,0.010407419731949946
T2-null,0.5,4.99720863,0.001848,SIZE,0.014457917217477965,0.14362918718379705,0.01445,0.14352,10000,500,500,0.038,0.036,0.00855055553750749,0.008331146379700694,1.8077022202500062,0.15394468931954547,-0.0004443630579072086,0.02809046653066997
T2-null,0.5,4.99720863,0.001848,SIZE,0.014457917217477965,0.14362918718379705,0.01445,0.14352,20000,500,500,0.05,0.044,0.009746794344808962,0.009172131704244113,1.8318402838808825,0.15134741667805657,0.0020436619444282665,0.020677433313425135
T2-null,0.5,4.99720863,0.001848,SIZE,0.014457917217477965,0.14362918718379705,0.01445,0.14352,50000,500,500,0.044,0.032,0.009172131704244113,0.00787095928079926,1.82175179598139,0.15395710426313722,0.0015960089005299075,0.012907472302114567
T2-null,0.5,4.99720863,0.001848,SIZE,0.014457917217477965,0.14362918718379705,0.01445,0.14352,100000,500,500,0.052,0.036,0.009929350431926552,0.008331146379700694,1.8274643260494472,0.15213091032292672,0.0016631633178933113,0.009101684229417107
