cell,rho,alpha_b,seed,use_physics,use_iv,use_ipsw,combo,n_C1,tau_hat,SE,CI_L,CI_U,tau_true,bias,ci_covers_true,D_L,D_U,kappa_ident_width
T2-a,0.5,0.3,42,False,False,False,piw,102203,-0.01797149273680755,0.001026790161658872,-0.01998400145365894,-0.01595898401995616,-0.063038,0.045066507263192446,False,,,
T2-a,0.5,0.3,123,False,False,False,piw,101970,-0.017706412329694568,0.001023734473910085,-0.019712931898558335,-0.0156998927608308,-0.063038,0.04533158767030543,False,,,
T2-a,0.5,0.3,456,False,False,False,piw,102524,-0.017599010060271286,0.0010246513192377286,-0.019607326645977235,-0.015590693474565338,-0.063038,0.04543898993972871,False,,,
T2-a,0.5,0.3,789,False,False,False,piw,102228,-0.0190526752125771,0.0010315572510266767,-0.021074527424589387,-0.017030823000564813,-0.063038,0.0439853247874229,False,,,
T2-a,0.5,0.3,2026,False,False,False,piw,102210,-0.02081843627858372,0.0010282889592174694,-0.022833882638649963,-0.01880298991851748,-0.063038,0.042219563721416276,False,,,
T2-a,0.5,0.3,42,False,False,True,piW,102203,-0.0031473531276317995,0.0010143565455203308,-0.005135491956851648,-0.001159214298411951,-0.063038,0.0598906468723682,False,,,
T2-a,0.5,0.3,123,False,False,True,piW,101970,-0.003713148869575772,0.0010111716732977554,-0.005695045349239373,-0.0017312523899121715,-0.063038,0.059324851130424225,False,,,
T2-a,0.5,0.3,456,False,False,True,piW,102524,-0.0032544772317538023,0.0010163991637800926,-0.005246619592762784,-0.0012623348707448208,-0.063038,0.059783522768246194,False,,,
T2-a,0.5,0.3,789,False,False,True,piW,102228,-0.004173719490248015,0.0010153035248592999,-0.006163714398972243,-0.0021837245815237876,-0.063038,0.05886428050975198,False,,,
T2-a,0.5,0.3,2026,False,False,True,piW,102210,-0.005829321839521458,0.001014396648936452,-0.007817539271436903,-0.003841104407606012,-0.063038,0.05720867816047854,False,,,
T2-a,0.5,0.3,42,False,True,False,pIw,102203,-0.081960843296716,0.003118938971682233,-0.08807396368121317,-0.07584772291221883,-0.063038,-0.018922843296716008,False,,,
T2-a,0.5,0.3,123,False,True,False,pIw,101970,-0.08120690811634418,0.0030852298580988915,-0.087253958638218,-0.07515985759447036,-0.063038,-0.018168908116344182,False,,,
T2-a,0.5,0.3,456,False,True,False,pIw,102524,-0.07830530085385125,0.003072572356920637,-0.08432754267341569,-0.0722830590342868,-0.063038,-0.015267300853851251,False,,,
T2-a,0.5,0.3,789,False,True,False,pIw,102228,-0.07954962135023219,0.0031090508807475456,-0.08564336107649738,-0.073455881623967,-0.063038,-0.016511621350232195,False,,,
T2-a,0.5,0.3,2026,False,True,False,pIw,102210,-0.08323197429360644,0.003160521921757652,-0.08942659726025144,-0.07703735132696145,-0.063038,-0.020193974293606448,False,,,
T2-a,0.5,0.3,42,False,True,True,pIW,102203,-0.06415840984674437,0.0030220824257089275,-0.07008169140113386,-0.058235128292354874,-0.063038,-0.0011204098467443718,True,,,
T2-a,0.5,0.3,123,False,True,True,pIW,101970,-0.06289610549528792,0.0030051241005138465,-0.06878614873229505,-0.057006062258280775,-0.063038,0.0001418945047120812,True,,,
T2-a,0.5,0.3,456,False,True,True,pIW,102524,-0.06383461852910365,0.0030061261580437483,-0.06972662579886939,-0.057942611259337896,-0.063038,-0.0007966185291036487,True,,,
T2-a,0.5,0.3,789,False,True,True,pIW,102228,-0.06177374087365909,0.0029895200017204,-0.06763320007703108,-0.05591428167028711,-0.063038,0.0012642591263409067,True,,,
T2-a,0.5,0.3,2026,False,True,True,pIW,102210,-0.0659109022447505,0.003061222369598738,-0.07191089808916404,-0.05991090640033698,-0.063038,-0.002872902244750508,True,,,
T2-a,0.5,0.3,42,True,False,False,Piw,102203,-0.01797149273680755,0.001026790161658872,-0.01998400145365894,-0.01595898401995616,-0.063038,0.045066507263192446,False,0.01445,0.14352,1.1184824885044298
T2-a,0.5,0.3,123,True,False,False,Piw,101970,-0.017706412329694568,0.001023734473910085,-0.019712931898558335,-0.0156998927608308,-0.063038,0.04533158767030543,False,0.01445,0.14352,1.1019848164555044
T2-a,0.5,0.3,456,True,False,False,Piw,102524,-0.017599010060271286,0.0010246513192377286,-0.019607326645977235,-0.015590693474565338,-0.063038,0.04543898993972871,False,0.01445,0.14352,1.0953004770222228
T2-a,0.5,0.3,789,True,False,False,Piw,102228,-0.0190526752125771,0.0010315572510266767,-0.021074527424589387,-0.017030823000564813,-0.063038,0.0439853247874229,False,0.01445,0.14352,1.1857714824536838
T2-a,0.5,0.3,2026,True,False,False,Piw,102210,-0.02081843627858372,0.0010282889592174694,-0.022833882638649963,-0.01880298991851748,-0.063038,0.042219563721416276,False,0.01445,0.14352,1.2956662396747332
T2-a,0.5,0.3,42,True,False,True,PiW,102203,-0.0031473531276317995,0.0010143565455203308,-0.005135491956851648,-0.001159214298411951,-0.063038,0.0598906468723682,False,0.01445,0.14352,0.19588018702452836
T2-a,0.5,0.3,123,True,False,True,PiW,101970,-0.003713148869575772,0.0010111716732977554,-0.005695045349239373,-0.0017312523899121715,-0.063038,0.059324851130424225,False,0.01445,0.14352,0.2310933236683529
T2-a,0.5,0.3,456,True,False,True,PiW,102524,-0.0032544772317538023,0.0010163991637800926,-0.005246619592762784,-0.0012623348707448208,-0.063038,0.059783522768246194,False,0.01445,0.14352,0.20254721442797752
T2-a,0.5,0.3,789,True,False,True,PiW,102228,-0.004173719490248015,0.0010153035248592999,-0.006163714398972243,-0.0021837245815237876,-0.063038,0.05886428050975198,False,0.01445,0.14352,0.25975761892115934
T2-a,0.5,0.3,2026,True,False,True,PiW,102210,-0.005829321839521458,0.001014396648936452,-0.007817539271436903,-0.003841104407606012,-0.063038,0.05720867816047854,False,0.01445,0.14352,0.36279648512488505
T2-a,0.5,0.3,42,True,True,False,PIw,102203,-0.081960843296716,0.003118938971682233,-0.08807396368121317,-0.07584772291221883,-0.063038,-0.018922843296716008,False,0.01445,0.14352,5.100954568046475
T2-a,0.5,0.3,123,True,True,False,PIw,101970,-0.08120690811634418,0.0030852298580988915,-0.087253958638218,-0.07515985759447036,-0.063038,-0.018168908116344182,False,0.01445,0.14352,5.054032294584671
T2-a,0.5,0.3,456,True,True,False,PIw,102524,-0.07830530085385125,0.003072572356920637,-0.08432754267341569,-0.0722830590342868,-0.063038,-0.015267300853851251,False,0.01445,0.14352,4.873446465730916
T2-a,0.5,0.3,789,True,True,False,PIw,102228,-0.07954962135023219,0.0031090508807475456,-0.08564336107649738,-0.073455881623967,-0.063038,-0.016511621350232195,False,0.01445,0.14352,4.950888596202292
