cell,rho,alpha_b,N_rep,M_reps,role,n_valid,reject_rate_IPSW,SE_reject_IPSW,CI_95_L,CI_95_U,tau_IV_IPSW_mean,tau_IV_IPSW_std,elapsed_sec
T2-a,0.5,0.3,10000,1000,POWER,1000,0.559,0.015700923539715746,0.5282261898621572,0.5897738101378429,-0.06308886593174827,0.03018473804809476,1.41
T2-a,0.5,0.3,20000,1000,POWER,1000,0.847,0.011383804285035824,0.8246877436013298,0.8693122563986702,-0.0637987874519588,0.0218628157461379,3.22
T2-a,0.5,0.3,50000,1000,POWER,1000,0.995,0.002230470802319547,0.9906282772274537,0.9993717227725463,-0.06360676114880623,0.013523280590307418,8.38
T2-a,0.5,0.3,100000,1000,POWER,1000,1.0,0.0,1.0,1.0,-0.06381560148236196,0.009696549519026343,17.5
T2-b,1.0,0.3,10000,1000,POWER,1000,0.445,0.015715438269421567,0.41419774099193374,0.4758022590080663,-0.06020040035158867,0.033700135082068976,2.14
T2-b,1.0,0.3,20000,1000,POWER,1000,0.751,0.013674757767507255,0.7241974747756857,0.7778025252243143,-0.05984104664390474,0.024075893001572767,3.3
T2-b,1.0,0.3,50000,1000,POWER,1000,0.985,0.0038438262187565153,0.9774661006112372,0.9925338993887628,-0.059340387136485734,0.01474067094383382,7.71
T2-b,1.0,0.3,100000,1000,POWER,1000,1.0,0.0,1.0,1.0,-0.05943207896888639,0.01069978641551618,20.61
T2-c,0.5,3.972,10000,1000,POWER,1000,0.086,0.008865889690267977,0.06862285620707476,0.10337714379292523,-0.018636405112998813,0.028395553025426585,3.27
T2-c,0.5,3.972,20000,1000,POWER,1000,0.154,0.011414201680362931,0.13162816470648864,0.17637183529351136,-0.018846668775728444,0.020839103839881433,5.34
T2-c,0.5,3.972,50000,1000,POWER,1000,0.283,0.014244683218660919,0.2550804208914246,0.3109195791085754,-0.018484137288909668,0.012847840805601828,10.91
T2-c,0.5,3.972,100000,1000,POWER,1000,0.573,0.015641962792437528,0.5423417529268224,0.6036582470731775,-0.019149353795606495,0.00900918967530167,18.48
T2-d,1.0,3.972,10000,1000,POWER,1000,0.06,0.007509993342207435,0.045280413049273424,0.07471958695072657,-0.016689269116991024,0.032654235747171495,1.87
T2-d,1.0,3.972,20000,1000,POWER,1000,0.108,0.009815090422405696,0.08876242277208483,0.12723757722791518,-0.016321447135820313,0.023481797152086002,3.58
T2-d,1.0,3.972,50000,1000,POWER,1000,0.192,0.012455360291858283,0.16758749382795776,0.21641250617204225,-0.015769230779950866,0.01453227110142195,8.72
T2-d,1.0,3.972,100000,1000,POWER,1000,0.352,0.015102847413650183,0.3223984190692456,0.38160158093075436,-0.016197987467365532,0.010125954982802936,17.86
T2-null,0.5,4.99720863,10000,1000,SIZE,1000,0.046,0.006624499981130651,0.03301598003698392,0.058984019963016075,0.0015836297153120754,0.02807614088328795,1.85
T2-null,0.5,4.99720863,20000,1000,SIZE,1000,0.051,0.00695693898205238,0.03736439959517733,0.06463560040482266,0.0010226481923619898,0.020844484624978607,3.91
T2-null,0.5,4.99720863,50000,1000,SIZE,1000,0.047,0.006692607862410586,0.033882488589675255,0.060117511410324745,0.0016702616982807491,0.012757607475069805,9.34
T2-null,0.5,4.99720863,100000,1000,SIZE,1000,0.045,0.0065555320150236475,0.03215115725055365,0.05784884274944635,0.0010978465069067193,0.00903445012412329,18.2
