cell,rho,alpha_b,seed,delta_ZY,N,pi_c,n_C1,crash_rate,tau_LATE_true,NDE_LATE,NIE_LATE,tau_IV_IPSW,SE_tau,CI_L,CI_U,bias,bias_pct,ci_covers_true,tau_IV_positive,FS,RF,reject_H0_tau0,degenerate
T2-a,0.5,0.3,42,0.0,1000000,0.338525,102311,0.102311,-0.06305028835089903,-0.06524843603783635,0.0021981476869373058,-0.06571032553461578,0.003029772447545735,-0.07164867953180543,-0.05977197153742614,-0.002660037183716754,4.218913589915128,1,0,0.338400714616609,-0.022236421118603987,1,0
T2-a,0.5,0.3,123,0.0,1000000,0.337101,102496,0.102496,-0.0632556062848578,-0.06545860998161038,0.0022030036967525765,-0.05827461745482048,0.003005882590008855,-0.06416614733123784,-0.052383087578403126,0.004980988830037315,7.874383193177409,1,0,0.3376334537842805,-0.019675460359228757,1,0
T2-a,0.5,0.3,456,0.0,1000000,0.33768,102387,0.102387,-0.06310761944910451,-0.06530633555192603,0.0021987161028215007,-0.05997390454051411,0.0029928350768329555,-0.0658398612911067,-0.054107947789921514,0.0031337149085904,4.965668069792589,1,0,0.33920642413477253,-0.020343533700587987,1,0
T2-a,0.5,0.3,789,0.0,1000000,0.338303,102407,0.102407,-0.06301074207384728,-0.06520786585062725,0.0021971237767799273,-0.06042195154740156,0.0030184354694541868,-0.06633808506753176,-0.054505818027271356,0.002588790526445721,4.1084907767182175,1,0,0.3366573862564907,-0.020341496280464534,1,0
T2-a,0.5,0.3,2026,0.0,1000000,0.338434,102698,0.102698,-0.06296360937239878,-0.06515955558924999,0.0021959462168512295,-0.061298148062817824,0.00297488214049128,-0.06712891705818073,-0.055467379067454914,0.0016654613095809581,2.6451172767599354,1,0,0.34065771799596395,-0.020881687236458238,1,0
T2-a,0.5,0.3,42,0.005,1000000,0.338525,102311,0.102311,-0.06305028835089903,-0.06524843603783635,0.0021981476869373058,-0.05093494302496402,0.0030056267435958585,-0.0568259714424119,-0.04504391460751614,0.012115345325935008,19.21536862529235,0,0,0.338400714616609,-0.017236421118604087,1,0
T2-a,0.5,0.3,123,0.005,1000000,0.337101,102496,0.102496,-0.0632556062848578,-0.06545860998161038,0.0022030036967525765,-0.04346565837816884,0.0029845497006025803,-0.0493153757913499,-0.037615940964987785,0.019789947906688955,31.285682122101953,0,0,0.3376334537842805,-0.014675460359228794,1,0
T2-a,0.5,0.3,456,0.005,1000000,0.33768,102387,0.102387,-0.06310761944910451,-0.06530633555192603,0.0021987161028215007,-0.045233617670200066,0.002971017755063617,-0.05105681247012475,-0.03941042287027538,0.01787400177890444,28.32304868244887,0,0,0.33920642413477253,-0.015343533700588025,1,0
T2-a,0.5,0.3,789,0.005,1000000,0.338303,102407,0.102407,-0.06301074207384728,-0.06520786585062725,0.0021971237767799273,-0.04557005699787666,0.0029960017156351643,-0.05144222036052158,-0.03969789363523174,0.017440685075970623,27.678907598851165,0,0,0.3366573862564907,-0.01534149628046446,1,0
T2-a,0.5,0.3,2026,0.005,1000000,0.338434,102698,0.102698,-0.06296360937239878,-0.06515955558924999,0.0021959462168512295,-0.04662065879466292,0.0029527720650324818,-0.05240809204212658,-0.04083322554719926,0.01634295057773586,25.956184438340163,0,0,0.34065771799596395,-0.015881687236458338,1,0
