model,alpha_b,rho,delta_U,seed,N,E_S_T0,E_S_T1,SD_S_T0,SD_S_T1,NIE_naive,NIE_true,NDE_true,kappa_true,rho_label
T3-i,3.0,0.0,0.0,42,1000000,49.975163049276105,65.03335176222309,13.545163717168135,13.559815206023359,0.032561454082488665,0.03242761320197342,-0.06922375666227615,0.46844630753252686,0.0
T3-i,3.0,0.0,0.0,123,1000000,50.01698565541408,65.00138666707268,13.542908767337169,13.544953751715866,0.032398159186613054,0.03242386459702487,-0.06920489862036007,0.4685197904109894,0.0
T3-i,3.0,0.0,0.0,456,1000000,50.01414594517547,64.98723293604203,13.580739647905375,13.55154854263632,0.03231809420354863,0.03242399278148979,-0.06922990206508019,0.46835242885378237,0.0
T3-i,3.0,0.0,0.0,789,1000000,49.996068532187486,64.97423495521508,13.517828533688649,13.573849427460143,0.032413447935516024,0.03239055676509402,-0.06911332784187485,0.4686586187717763,0.0
T3-i,3.0,0.0,0.0,2026,1000000,50.01401509218003,64.97818796525836,13.511926795387,13.560729291631603,0.03238202369801858,0.03240120423575653,-0.06914454143868536,0.46860104299756816,0.0
T3-ii,0.0,,1.2,42,1000000,49.975163049276105,65.03335176222309,13.545163717168135,13.559815206023359,0.032561454082488665,0.0,-0.06922375666227615,0.0,additive_shift
T3-ii,0.0,,1.2,123,1000000,50.01698565541408,65.00138666707268,13.542908767337169,13.544953751715866,0.032398159186613054,0.0,-0.06920489862036007,0.0,additive_shift
T3-ii,0.0,,1.2,456,1000000,50.01414594517547,64.98723293604203,13.580739647905375,13.55154854263632,0.03231809420354863,0.0,-0.06922990206508019,0.0,additive_shift
T3-ii,0.0,,1.2,789,1000000,49.996068532187486,64.97423495521508,13.517828533688649,13.573849427460143,0.032413447935516,0.0,-0.06911332784187485,0.0,additive_shift
T3-ii,0.0,,1.2,2026,1000000,50.01401509218003,64.97818796525836,13.511926795387,13.560729291631601,0.032382023698018576,0.0,-0.06914454143868536,0.0,additive_shift
