cell,rho,alpha_b,seed,N,proxy_cov_W1_Z1p,proxy_corr,proxy_eta_sq,proxy_cond_number,proxy_det,completeness_holds,sigma2_post_actual,sigma2_post_theoretical,n_C1,crash_rate,tau_ATE_pop_mc,tau_ATE_pop_prereg,tau_LATE_mc,tau_LATE_prereg,tau_naive,se_naive,bias_naive_vs_ATE,tau_proxy_ctrl,se_proxy_ctrl,bias_proxy_ctrl_vs_ATE,tau_prox_lin,se_prox_lin,CI_L_prox_lin,CI_U_prox_lin,bias_prox_lin_vs_ATE,cov_prox_lin_ate,tau_prox_poly,se_prox_poly,CI_L_prox_poly,CI_U_prox_poly,bias_prox_poly_vs_ATE,cov_prox_poly_ate,tau_IV_IPSW,se_IV_IPSW,CI_L_IV,CI_U_IV,FS_IV,bias_IV_vs_LATE,bias_IV_vs_ATE,cov_IV_late,cov_IV_ate,NIE_proximal_identified,NDE_proximal_identified,NIE_IV_bounds
T2-a,0.5,0.3,42,1000000,1.0007687214255045,0.8003194441573865,0.6405112126963881,9.01599778820683,0.5621161442086874,True,0.1111111111111111,0.1111111111111111,102203,0.102203,-0.06693670781249703,-0.066897,-0.06303744991232321,-0.063038,-0.01797149273680794,0.0010268001163925968,0.04892550726319206,-0.05690254822118173,0.0005377059848071224,0.009994451778818268,-0.056901362026530074,0.0005377177018559603,-0.05795528872216776,-0.05584743533089239,0.009995637973469924,False,-0.05667977131532734,0.00052263863920331,-0.057704143048165825,-0.05565539958248885,0.01021722868467266,False,-0.06415840984674437,0.0030220824257089275,-0.07008169140113386,-0.058235128292354874,0.33675299560028177,-0.0011204098467443718,0.0027385901532556295,True,True,False,False,True
T2-a,0.5,0.3,123,1000000,0.9989754840796916,0.8001251998781879,0.64020033548011,9.006274916769703,0.5608600641224685,True,0.1111111111111111,0.1111111111111111,101970,0.10197,-0.06691819107991812,-0.066897,-0.06306648561025979,-0.063038,-0.017706412329694082,0.0010237444111824922,0.049190587670305916,-0.056623152481485466,0.0005397189285012179,0.010273847518514533,-0.056619978779584024,0.0005396971527555686,-0.057677785198984935,-0.05556217236018311,0.010277021220415974,False,-0.05658049673098327,0.0005239223893889603,-0.05760738461418563,-0.055553608847780905,0.01031650326901673,False,-0.06289610549528792,0.0030051241005138465,-0.06878614873229505,-0.057006062258280775,0.337864011138329,0.0001418945047120812,0.0040008945047120825,True,True,False,False,True
T2-a,0.5,0.3,456,1000000,1.0033943284072941,0.8006574419477409,0.6410523393463,9.032984317511206,0.5637426876997685,True,0.1111111111111111,0.1111111111111111,102524,0.102524,-0.0669430517571247,-0.066897,-0.06301724972392005,-0.063038,-0.01759901006027151,0.0010246612234799247,0.04929798993972849,-0.055985404875898453,0.0005380804012456984,0.010911595124101545,-0.055990237949850315,0.0005380753271142522,-0.05704486559099425,-0.05493561030870638,0.010906762050149683,False,-0.05596780496878624,0.0005210795017235158,-0.05698912079216433,-0.05494648914540815,0.010929195031213756,False,-0.06383461852910365,0.0030061261580437483,-0.06972662579886939,-0.057942611259337896,0.33884189853805824,-0.0007966185291036487,0.0030623814708963526,True,True,False,False,True
T2-a,0.5,0.3,789,1000000,1.0006378467972599,0.8001247192715668,0.6401995663894036,9.006241749766318,0.5627301141972499,True,0.1111111111111111,0.1111111111111111,102228,0.102228,-0.06682919961870022,-0.066897,-0.06271625171608897,-0.063038,-0.019052675212576767,0.0010315672529045425,0.04784432478742323,-0.05729420776343787,0.0005432970459515446,0.00960279223656213,-0.05729504508567388,0.0005432976851543258,-0.05835990854857636,-0.0562301816227714,0.009601954914326118,False,-0.05714894696489656,0.0005250050580435888,-0.05817795687866199,-0.05611993705113112,0.00974805303510344,False,-0.06177374087365909,0.0029895200017204,-0.06763320007703108,-0.05591428167028711,0.33998353702090145,0.0012642591263409067,0.005123259126340908,True,True,False,False,True
T2-a,0.5,0.3,2026,1000000,1.0001289708112953,0.7999943264553224,0.639990922360705,8.99971652546597,0.5626672697556983,True,0.1111111111111111,0.1111111111111111,102210,0.10221,-0.06685960200344496,-0.066897,-0.06303371997686609,-0.063038,-0.020818436278583152,0.0010282989219498888,0.046078563721416846,-0.057105855372419155,0.0005424958454339977,0.009791144627580843,-0.057105509140177695,0.0005424973046311997,-0.05816880385725485,-0.05604221442310054,0.009791490859822304,False,-0.05700869659523849,0.0005233742939713224,-0.05803451021142228,-0.055982882979054696,0.00988830340476151,False,-0.0659109022447505,0.003061222369598738,-0.07191089808916404,-0.05991090640033698,0.3328027473695447,-0.002872902244750508,0.0009860977552494932,True,True,False,False,True
T2-b,1.0,0.3,42,1000000,1.0007687214255045,0.8003194441573865,0.6405112126963881,9.01599778820683,0.5621161442086874,True,0.1111111111111111,0.1111111111111111,101310,0.10131,-0.06693670781249703,-0.066897,-0.05884471709969853,-0.058665,0.037662109904521845,0.0009500848969619028,0.10455910990452184,-0.04594419095800887,0.0005517221211892079,0.02095280904199113,-0.045940742950572884,0.0005517610515227381,-0.047022194611557454,-0.044859291289588314,0.020956257049427114,False,-0.045819759882814136,0.000544536224944927,-0.04688705088370619,-0.04475246888192208,0.021077240117185862,False,-0.059740911125089946,0.0032255251260044624,-0.06606294037205869,-0.0534188818781212,0.29877415880258357,-0.0010759111250899442,0.007156088874910052,True,False,False,False,True
T2-b,1.0,0.3,123,1000000,0.9989754840796916,0.8001251998781879,0.64020033548011,9.006274916769703,0.5608600641224685,True,0.1111111111111111,0.1111111111111111,101098,0.101098,-0.06691819107991812,-0.066897,-0.05886735176177731,-0.058665,0.03725627087901082,0.0009477474611016956,0.10415327087901081,-0.04582280032648317,0.0005512246823385135,0.021074199673516827,-0.04581984310623362,0.0005512183167902562,-0.04690023100714252,-0.04473945520532471,0.02107715689376638,False,-0.045667175035193346,0.0005440715152555548,-0.046733555205094236,-0.044600794865292455,0.021229824964806653,False,-0.05902709512782133,0.003210421353812173,-0.06531952098129319,-0.05273466927434947,0.2999449216654756,-0.0003620951278213297,0.007869904872178667,True,False,False,False,True
T2-b,1.0,0.3,456,1000000,1.0033943284072941,0.8006574419477409,0.6410523393463,9.032984317511206,0.5637426876997685,True,0.1111111111111111,0.1111111111111111,101687,0.101687,-0.0669430517571247,-0.066897,-0.058777905455120065,-0.058665,0.03758121751537784,0.0009482950944218776,0.10447821751537784,-0.045789420985645694,0.0005475441320407665,0.021107579014354304,-0.04579369607842249,0.0005475301605547273,-0.046866855193109756,-0.04472053696373523,0.021103303921577506,False,-0.04569990073401387,0.0005395993490438677,-0.04675751545813985,-0.04464228600988789,0.021197099265986126,False,-0.05967965698153504,0.0032168551395692535,-0.06598469305509078,-0.0533746209079793,0.30038731198682067,-0.0010146569815350365,0.00721734301846496,True,False,False,False,True
T2-b,1.0,0.3,789,1000000,1.0006378467972599,0.8001247192715668,0.6401995663894036,9.006241749766318,0.5627301141972499,True,0.1111111111111111,0.1111111111111111,101442,0.101442,-0.06682919961870022,-0.066897,-0.058605210377813965,-0.058665,0.03619454651050284,0.0009553153410017872,0.10309154651050284,-0.04627157558834782,0.000553340418044885,0.02062542441165218,-0.04627270188655257,0.0005533328212018011,-0.047357234216108095,-0.04518816955699704,0.02062429811344743,False,-0.04612653442650712,0.0005441805674634997,-0.047193128338735575,-0.04505994051427866,0.02077046557349288,False,-0.058685977962253826,0.0032178198728621773,-0.0649929049130637,-0.05237905101144396,0.29935885931474193,-2.0977962253823645e-05,0.008211022037746173,True,False,False,False,True
T2-b,1.0,0.3,2026,1000000,1.0001289708112953,0.7999943264553224,0.639990922360705,8.99971652546597,0.5626672697556983,True,0.1111111111111111,0.1111111111111111,101293,0.101293,-0.06685960200344496,-0.066897,-0.05858309489015589,-0.058665,0.03547795701258517,0.0009518930771257182,0.10237495701258517,-0.04624455570656859,0.0005520649028469786,0.02065244429343141,-0.04624458642047145,0.0005520722613903157,-0.04732664805279647,-0.045162524788146426,0.02065241357952855,False,-0.046104859250385787,0.0005436583104644593,-0.04717042953889613,-0.045039288961875444,0.02079214074961421,False,-0.06164682887872567,0.003273911876142161,-0.0680636961559643,-0.055229961601487035,0.2948367773988023,-0.0029818288787256675,0.005250171121274329,True,True,False,False,True
