series,condition,sigma,cell,rho,alpha_b,seed,N,pi_c,tau_LATE_true,kappa_LATE_true,NIE_LATE,NDE_LATE,tau_IV_IPSW,bias,SE_tau,CI_L,CI_U,CI_covers_true,FS_IPSW,RF_IPSW,W_mean_oracle,W_cv_oracle,W_mean_degraded,W_cv_degraded,n_C1,crash_rate
noise,sigma=0.0,0.0,T2-a,0.5,0.3,42,1000000,0.338096,-0.06304833503964907,0.03368842453712319,0.0021980478461691324,-0.0652463828858182,-0.064529461813516,-0.0014811267738669281,0.0030092554277951346,-0.07042760245199446,-0.05863132117503754,1,0.339794250673244,-0.02192674012327138,11.234917486313783,0.3978572472926573,11.234917486313783,0.3978572472926573,102296,0.102296
noise,sigma=0.1,0.1,T2-a,0.5,0.3,42,1000000,0.338096,-0.06304833503964907,0.03368842453712319,0.0021980478461691324,-0.0652463828858182,-0.06416433723235751,-0.0011160021927084374,0.0030219993501742685,-0.07008745595869907,-0.05824121850601594,1,0.33939282597121095,-0.021776915739859605,11.234917486313783,0.3978572472926573,11.289923932341491,0.41233340915354677,102296,0.102296
noise,sigma=0.2,0.2,T2-a,0.5,0.3,42,1000000,0.338096,-0.06304833503964907,0.03368842453712319,0.0021980478461691324,-0.0652463828858182,-0.06439400609568553,-0.0013456710560364599,0.003072841178264919,-0.07041677480508478,-0.058371237386286294,1,0.3400331184934211,-0.02189609470500032,11.234917486313783,0.3978572472926573,11.459960096760614,0.453546060570137,102296,0.102296
noise,sigma=0.4,0.4,T2-a,0.5,0.3,42,1000000,0.338096,-0.06304833503964907,0.03368842453712319,0.0021980478461691324,-0.0652463828858182,-0.06571003947826294,-0.0026617044386138683,0.0032635490600427274,-0.07210659563594668,-0.059313483320579195,1,0.33941038802720347,-0.022302669996600084,11.234917486313783,0.3978572472926573,12.171512090859183,0.5996142585493874,102296,0.102296
spatial,state_K10,0.0,T2-a,0.5,0.3,42,1000000,0.338096,-0.06304833503964907,0.03368842453712319,0.0021980478461691324,-0.0652463828858182,-0.06585070311810316,-0.00280236807845409,0.0029704221785810388,-0.071672730588122,-0.060028675648084326,1,0.3399821593321029,-0.022388064239629954,11.234917486313783,0.3978572472926573,11.134498817005781,0.37508461544747546,102296,0.102296
temporal,no_b_term,0.0,T2-a,0.5,0.3,42,1000000,0.338096,-0.06304833503964907,0.03368842453712319,0.0021980478461691324,-0.0652463828858182,-0.06915700691686336,-0.006108671877214283,0.002953181127266141,-0.07494524192630499,-0.06336877190742173,0,0.3361152459515995,-0.023244724389137994,11.234917486313783,0.3978572472926573,11.288710928399665,0.3233701104029515,102296,0.102296
noise,sigma=0.0,0.0,T2-a,0.5,0.3,123,1000000,0.338463,-0.06303204025106099,0.03369042051554125,0.0021976144985996387,-0.06522965474966062,-0.06457170381310226,-0.0015396635620412713,0.003024475542862022,-0.07049967587711183,-0.058643731749092695,1,0.3363035869369831,-0.02171569560697876,11.236646799859232,0.39726519207596067,11.236646799859232,0.39726519207596067,102608,0.102608
noise,sigma=0.1,0.1,T2-a,0.5,0.3,123,1000000,0.338463,-0.06303204025106099,0.03369042051554125,0.0021976144985996387,-0.06522965474966062,-0.06462582340864582,-0.0015937831575848355,0.0030444159535275954,-0.07059287867755991,-0.05865876813973174,1,0.3357131275800672,-0.02169573729895361,11.236646799859232,0.39726519207596067,11.294404337093715,0.4112621554379739,102608,0.102608
noise,sigma=0.2,0.2,T2-a,0.5,0.3,123,1000000,0.338463,-0.06303204025106099,0.03369042051554125,0.0021976144985996387,-0.06522965474966062,-0.064224175281807,-0.0011921350307460138,0.003086425685537578,-0.07027356962546065,-0.05817478093815335,1,0.3364472754652378,-0.021608048792565837,11.236646799859232,0.39726519207596067,11.460567250216283,0.45238298658161197,102608,0.102608
noise,sigma=0.4,0.4,T2-a,0.5,0.3,123,1000000,0.338463,-0.06303204025106099,0.03369042051554125,0.0021976144985996387,-0.06522965474966062,-0.06332710792077739,-0.0002950676697164034,0.0032481950316948015,-0.0696935701828992,-0.05696064565865558,1,0.3363132163191936,-0.021297743345029325,11.236646799859232,0.39726519207596067,12.17409043041715,0.5976069411466974,102608,0.102608
